ML #,Status,Address,SUB/AREA,Price,List Date,DOM,Tot BR,Tot Baths,TotFlArea,Yr Blt,Age,Locker,TotalPrkng,StratMtFee,TypeDwel,Bylaw Restrictions
R2327525,ACTIVE,1404 668 COLUMBIA STREET,VNWQY,"$438,000 ",12/10/2018,86,1,1,515,2015,3,,1,$180.25 ,Apartment/Condo,"PETY, RENY"
R2344880,ACTIVE,701 5380 OBEN STREET,VVECO,"$439,000 ",3/2/2019,4,1,1,574,2006,13,Y,1,$209.75 ,Apartment/Condo,"PETR, RENY"
R2340492,ACTIVE,607 720 CARNARVON STREET,VNWDT,"$439,800 ",2/11/2019,23,1,1,660,1995,24,Y,1,$260.69 ,Apartment/Condo,"PETR, RENR"
R2341699,ACTIVE,212 315 KNOX STREET,VNWSA,"$445,000 ",2/19/2019,15,1,1,712,2007,12,Y,1,$322.05 ,Apartment/Condo,"PETR, RENR"
R2339252,ACTIVE,1807 668 COLUMBIA STREET,VNWQY,"$448,000 ",2/7/2019,27,1,1,501,2015,4,N,1,$215.38 ,Apartment/Condo,"PETR, RENY"
R2335626,ACTIVE,102 200 NELSON'S CRESCENT,VNWSA,"$448,000 ",1/25/2019,40,1,1,506,2017,2,,1,$211.23 ,Apartment/Condo,"PETR, RENY"
R2340823,ACTIVE,1507 668 COLUMBIA STREET,VNWQY,"$448,000 ",2/13/2019,21,1,1,501,2015,4,,1,$215.38 ,Apartment/Condo,"NO, PETR, RENY"
R2327734,ACTIVE,1907 668 COLUMBIA STREET,VNWQY,"$449,000 ",12/12/2018,84,1,1,501,2015,4,Y,1,$220.00 ,Apartment/Condo,"NO, PETR, RENY"
R2340591,ACTIVE,609 280 ROSS DRIVE,VNWFV,"$449,000 ",2/13/2019,21,1,1,630,2010,9,,1,$227.65 ,Apartment/Condo,"PETR, RENR"
R2345273,ACTIVE,402 55 EIGHTH AVENUE,VNWGN,"$450,000 ",2/28/2019,6,1,1,647,2013,6,Y,1,$276.66 ,Apartment/Condo,"PETY, RENY, SMKG"
R2343646,ACTIVE,301 1503 W 65TH AVENUE,VVWSW,"$450,000 ",2/26/2019,8,1,1,502,2001,18,,1,$272.70 ,Apartment/Condo,RENN
R2338940,ACTIVE,608 610 VICTORIA STREET,VNWDT,"$455,000 ",2/4/2019,30,1,1,682,2007,12,Y,1,$242.44 ,Apartment/Condo,"PETY, RENY"
R2337389,ACTIVE,1405 5189 GASTON STREET,VVECO,"$455,000 ",2/1/2019,33,1,1,552,1996,23,Y,1,$243.55 ,Apartment/Condo,PETR
R2343507,ACTIVE,701 813 CARNARVON STREET,VNWDT,"$456,900 ",2/25/2019,9,1,1,527,2022,0,Y,1,$242.42 ,Apartment/Condo,"PETR, RENY"
R2342230,ACTIVE,501 5288 MELBOURNE STREET,VVECO,"$458,000 ",2/18/2019,16,1,1,588,1998,21,N,1,$245.31 ,Apartment/Condo,RENR
R2336040,ACTIVE,1201 5189 GASTON STREET,VVECO,"$458,000 ",1/25/2019,40,1,1,575,1995,24,Y,1,$251.86 ,Apartment/Condo,"PETR, RENR"
R2333704,ACTIVE,311 3638 VANNESS AVENUE,VVECO,"$468,000 ",1/16/2019,49,1,1,603,2005,14,,1,$244.44 ,Apartment/Condo,"PETR, RENR"
R2343584,ACTIVE,501 3660 VANNESS AVENUE,VVECO,"$468,000 ",2/26/2019,8,1,1,564,2006,13,Y,1,$222.13 ,Apartment/Condo,"PETY, RENY"
R2333675,ACTIVE,2007 888 CARNARVON STREET,VNWDT,"$468,800 ",1/17/2019,48,1,1,630,2009,10,Y,1,$205.56 ,Apartment/Condo,"PETR, RENY"
R2344628,ACTIVE,313 83 STAR CRESCENT,VNWQB,"$468,800 ",3/1/2019,5,2,2,966,1998,21,Y,2,$392.45 ,Apartment/Condo,RENR
R2337695,ACTIVE,504 5470 ORMIDALE STREET,VVECO,"$469,000 ",1/31/2019,34,1,1,481,2018,1,Y,1,$224.54 ,Apartment/Condo,"PETR, RENY"
R2344657,ACTIVE,205 2628 DUKE STREET,VVECO,"$469,800 ",2/28/2019,6,1,1,493,2021,0,Y,1,$193.00 ,Apartment/Condo,"PETR, RENY"
R2331789,ACTIVE,205 709 TWELFTH STREET,VNWMP,"$469,900 ",1/14/2019,51,1,1,645,2012,7,Y,1,$240.37 ,Apartment/Condo,"PETR, RENR"
R2342986,ACTIVE,208 709 TWELFTH STREET,VNWMP,"$469,900 ",2/25/2019,9,1,1,636,2012,7,Y,2,$212.00 ,Apartment/Condo,"PETR, RENR"
R2337276,ACTIVE,321 5380 OBEN STREET,VVECO,"$469,900 ",1/31/2019,34,1,1,575,2006,13,Y,1,$201.45 ,Apartment/Condo,"PETR, RENY"
R2333157,ACTIVE,304 5629 DUNBAR STREET,VVWDU,"$470,000 ",1/17/2019,48,1,1,625,2001,18,,1,$268.03 ,Apartment/Condo,"PETR, RENY"
R2335174,ACTIVE,101 3939 KNIGHT STREET,VVEKN,"$473,000 ",1/24/2019,41,1,1,595,2017,2,N,0,$168.59 ,Apartment/Condo,RENR
R2333956,ACTIVE,209 275 ROSS DRIVE,VNWFV,"$475,000 ",1/21/2019,44,1,1,657,2008,11,N,1,$259.39 ,Apartment/Condo,"PETR, RENY"
